nxHelBake1.g3827.t2	GO:0016603
nxHelBake1.g7236.t1	
nxHelBake1.g2477.t2	
nxHelBake1.g2480.t2	
nxHelBake1.g16633.t1	
nxHelBake1.g6374.t1	
nxHelBake1.g16997.t2	
nxHelBake1.g1335.t1	GO:0055085,GO:0016020,GO:0030001,GO:0046873
nxHelBake1.g8680.t1	GO:0015935,GO:0005840,GO:0006412,GO:0003735
nxHelBake1.g9606.t1	
nxHelBake1.g4473.t3	GO:0003677,GO:0006355,GO:0003700,GO:0006357
nxHelBake1.g1452.t1	
nxHelBake1.g3559.t1	
nxHelBake1.g10863.t1	
nxHelBake1.g11352.t1	
nxHelBake1.g17063.t1	GO:0005737,GO:0004364
nxHelBake1.g14494.t1	
nxHelBake1.g9465.t1	
nxHelBake1.g16984.t1	
nxHelBake1.g2238.t1	GO:0007165
nxHelBake1.g1354.t1	GO:0004843,GO:0016579
nxHelBake1.g1474.t1	GO:0004512,GO:0008654,GO:0006021
nxHelBake1.g11303.t1	
nxHelBake1.g17062.t1	GO:0005515,GO:0006749
nxHelBake1.g2625.t1	GO:0016971,GO:0016972
nxHelBake1.g1723.t1	GO:0046961,GO:0034220,GO:1902600,GO:0033180
nxHelBake1.g7229.t1	GO:0003824
nxHelBake1.g17625.t1	
nxHelBake1.g1376.t1	
nxHelBake1.g11832.t1	
nxHelBake1.g16968.t1	
nxHelBake1.g15732.t1	GO:0005515
nxHelBake1.g2220.t1	GO:0003824
nxHelBake1.g11874.t1	GO:0043023
nxHelBake1.g11912.t1	
nxHelBake1.g16645.t1	GO:0003677
nxHelBake1.g15100.t1	GO:0018996,GO:0008270,GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g15654.t1	
nxHelBake1.g17061.t1	
nxHelBake1.g11701.t1	GO:0007131,GO:0019789,GO:0000795
nxHelBake1.g12477.t1	GO:0005747,GO:0006120
nxHelBake1.g127.t2	GO:0016971,GO:0016972
nxHelBake1.g426.t1	
nxHelBake1.g13335.t1	GO:0006464
nxHelBake1.g6916.t3	GO:0003723,GO:0006397,GO:0003676,GO:0005634
nxHelBake1.g15103.t1	
nxHelBake1.g8880.t1	GO:0008479,GO:0006400,GO:0016763,GO:0101030
nxHelBake1.g3994.t1	
nxHelBake1.g18970.t1	GO:0008194
nxHelBake1.g9855.t1	GO:0005762,GO:0003735
nxHelBake1.g937.t1	GO:0016491
nxHelBake1.g12624.t2	
nxHelBake1.g888.t1	
nxHelBake1.g8763.t1	GO:0016021
nxHelBake1.g3372.t1	
nxHelBake1.g12157.t1	GO:0004867
nxHelBake1.g15697.t1	GO:0055085,GO:0005524,GO:0140359,GO:0016021
nxHelBake1.g3591.t1	
nxHelBake1.g12779.t1	
nxHelBake1.g15255.t1	
nxHelBake1.g1716.t1	GO:0055085,GO:0022857,GO:0016021
nxHelBake1.g2844.t1	
nxHelBake1.g13236.t1	GO:0035673,GO:0016021,GO:0055085,GO:0016020,GO:0022857,GO:0006857
nxHelBake1.g15308.t1	GO:0008897,GO:0000287
nxHelBake1.g235.t1	
nxHelBake1.g953.t1	
nxHelBake1.g1858.t1	
nxHelBake1.g18745.t1	
nxHelBake1.g291.t1	GO:0006508,GO:0004185
nxHelBake1.g8050.t1	GO:0005515
nxHelBake1.g8398.t2	GO:0003779,GO:0007015,GO:2000601
nxHelBake1.g4754.t2	GO:0005524,GO:0003676
nxHelBake1.g8359.t1	
nxHelBake1.g11558.t1	
nxHelBake1.g18600.t1	GO:0003714,GO:0045892
nxHelBake1.g8294.t1	
nxHelBake1.g534.t1	
nxHelBake1.g7173.t1	GO:0003723,GO:0000184,GO:0005515
nxHelBake1.g13798.t1	
nxHelBake1.g16670.t1	
nxHelBake1.g4018.t1	
nxHelBake1.g17769.t1	GO:0000124,GO:0046695,GO:0046982,GO:0006352,GO:0005669
nxHelBake1.g5047.t1	
nxHelBake1.g1351.t1	GO:0006813,GO:0008076,GO:0005249
nxHelBake1.g12443.t1	GO:0003677,GO:0000786,GO:0046982
nxHelBake1.g13949.t1	GO:0009986
nxHelBake1.g8253.t4	GO:0046872,GO:0005085
nxHelBake1.g8360.t1	GO:0003824,GO:0016811,GO:0006807
nxHelBake1.g11840.t1	
nxHelBake1.g6495.t1	
nxHelBake1.g18419.t1	
nxHelBake1.g12593.t1	GO:0003677,GO:0000786,GO:0046982
nxHelBake1.g8300.t1	GO:0008194
nxHelBake1.g3722.t1	
nxHelBake1.g6487.t1	GO:0016021
nxHelBake1.g18671.t1	
nxHelBake1.g12119.t3	GO:0140658,GO:0005524,GO:0016887
nxHelBake1.g16706.t1	
nxHelBake1.g15019.t1	GO:0055085,GO:0016020,GO:0022857,GO:0016021
nxHelBake1.g6958.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g2389.t1	
nxHelBake1.g164.t1	
nxHelBake1.g16113.t1	
nxHelBake1.g13419.t1	GO:0006357
nxHelBake1.g7265.t1	
nxHelBake1.g9408.t1	GO:0006470,GO:0004725
nxHelBake1.g7990.t1	
nxHelBake1.g15149.t1	GO:0019008,GO:0051539,GO:0006777,GO:0051536,GO:0003824,GO:0046872
nxHelBake1.g7150.t1	GO:0005515
nxHelBake1.g17354.t2	GO:0016780
nxHelBake1.g10002.t1	
nxHelBake1.g12938.t1	
nxHelBake1.g9768.t2	
nxHelBake1.g9449.t1	GO:0003677,GO:0006275,GO:0030337
nxHelBake1.g1544.t1	GO:0005544
nxHelBake1.g14071.t1	GO:0003676,GO:0008270
nxHelBake1.g10552.t1	GO:0006508,GO:0008270,GO:0004222,GO:0008237
nxHelBake1.g10442.t1	GO:0016020
nxHelBake1.g5068.t1	
nxHelBake1.g12626.t1	
nxHelBake1.g16229.t1	
nxHelBake1.g18034.t1	
nxHelBake1.g2079.t1	GO:0005515
nxHelBake1.g11089.t5	GO:0005507,GO:0004497,GO:0016020,GO:0005515,GO:0006518,GO:0003824,GO:0016715
nxHelBake1.g14037.t1	
nxHelBake1.g16406.t1	
nxHelBake1.g14877.t1	
nxHelBake1.g2011.t2	GO:0016055,GO:0005515,GO:0035556
nxHelBake1.g10139.t1	
nxHelBake1.g7112.t1	GO:0003723,GO:0003676
nxHelBake1.g3044.t1	GO:0015035
nxHelBake1.g15119.t1	
nxHelBake1.g15243.t1	
nxHelBake1.g8573.t1	
nxHelBake1.g16496.t1	GO:0005515
nxHelBake1.g8064.t1	
nxHelBake1.g8172.t1	GO:0046961,GO:0033179,GO:1902600
nxHelBake1.g17340.t1	
nxHelBake1.g15227.t1	GO:0004930,GO:0007186,GO:0004983,GO:0016021
nxHelBake1.g4769.t1	
nxHelBake1.g2949.t1	GO:0006897,GO:0016020
nxHelBake1.g5937.t2	GO:0000469
nxHelBake1.g4581.t1	GO:0006680,GO:0016020,GO:0004553,GO:0005975,GO:0004348
nxHelBake1.g1425.t1	
nxHelBake1.g5166.t1	
nxHelBake1.g12873.t1	
nxHelBake1.g7868.t3	GO:0005524,GO:0006464
nxHelBake1.g18567.t1	
nxHelBake1.g6723.t1	
nxHelBake1.g16634.t1	
nxHelBake1.g9589.t1	GO:0140658,GO:0005524
nxHelBake1.g6999.t1	GO:0005525,GO:0005874,GO:0005200,GO:0007017
nxHelBake1.g7765.t1	GO:0016491
nxHelBake1.g13766.t1	GO:0005515
nxHelBake1.g1725.t1	
nxHelBake1.g18035.t1	GO:0043231,GO:0051537
nxHelBake1.g14946.t1	GO:0008270,GO:0004089
nxHelBake1.g15448.t1	GO:0005737,GO:0030145,GO:0006508,GO:0070006,GO:0019538
nxHelBake1.g2443.t1	
nxHelBake1.g13217.t1	GO:0005515
nxHelBake1.g11815.t1	GO:0004146,GO:0006545,GO:0046654,GO:0050661
nxHelBake1.g9299.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g8591.t1	
nxHelBake1.g13220.t1	GO:0003796
nxHelBake1.g14856.t1	GO:0018996,GO:0008270,GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g14988.t1	
nxHelBake1.g12329.t1	GO:0004888,GO:0034220,GO:0022848,GO:0045211,GO:0016021,GO:0005230,GO:0006811,GO:0005216
nxHelBake1.g10514.t1	GO:0004867
nxHelBake1.g4826.t1	GO:0016783
nxHelBake1.g12712.t1	GO:0005515,GO:0004713,GO:0004672,GO:0006468
nxHelBake1.g3634.t1	
nxHelBake1.g15502.t1	GO:0005515
nxHelBake1.g12344.t1	GO:0098542
nxHelBake1.g17985.t2	GO:0005524,GO:0007018,GO:0003777,GO:0008017
nxHelBake1.g8801.t1	GO:0016021,GO:0055085,GO:0042910,GO:0022857,GO:0042908
nxHelBake1.g15156.t1	GO:0003968
nxHelBake1.g5071.t1	GOLD domain
nxHelBake1.g10636.t1	GO:0003676,GO:0003723,GO:0043484,GO:0051726
nxHelBake1.g3421.t1	GO:0016021
nxHelBake1.g13775.t1	GO:0019236,GO:0007186
nxHelBake1.g4869.t1	GO:0008270
nxHelBake1.g5302.t1	
nxHelBake1.g18945.t1	GO:0003677,GO:0000786,GO:0006334
nxHelBake1.g14590.t1	GO:0009982,GO:0001522,GO:0009451,GO:0003723
nxHelBake1.g8124.t1	
nxHelBake1.g5159.t1	
nxHelBake1.g9933.t3	
nxHelBake1.g4308.t1	
nxHelBake1.g14772.t1	GO:0006685,GO:0004767,GO:0016787
nxHelBake1.g12771.t1	GO:0007165
nxHelBake1.g10669.t1	
nxHelBake1.g7448.t1	
nxHelBake1.g7054.t1	GO:0042302
nxHelBake1.g15823.t1	
nxHelBake1.g18812.t1	
nxHelBake1.g3239.t1	
nxHelBake1.g8200.t1	GO:0000139
nxHelBake1.g12615.t1	
nxHelBake1.g4039.t1	
nxHelBake1.g6683.t2	GO:0016504,GO:0070577,GO:0070628
nxHelBake1.g519.t2	
nxHelBake1.g6935.t1	GO:0006102,GO:0016616,GO:0004450
nxHelBake1.g11919.t1	GO:0006508,GO:0008234
nxHelBake1.g11195.t1	
nxHelBake1.g5058.t1	
nxHelBake1.g1807.t1	GO:0016780
nxHelBake1.g1108.t1	
nxHelBake1.g14082.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g15952.t1	GO:0006486,GO:0016020,GO:0016758
nxHelBake1.g4896.t1	GO:0006487,GO:0006488,GO:0016021,GO:0008963,GO:0003975
nxHelBake1.g17309.t1	
nxHelBake1.g11695.t1	
nxHelBake1.g9237.t1	
nxHelBake1.g18071.t1	
nxHelBake1.g15372.t1	
nxHelBake1.g13445.t1	GO:0005515
nxHelBake1.g5270.t1	GO:0003677
nxHelBake1.g10290.t1	GO:0008641
nxHelBake1.g7459.t1	
nxHelBake1.g13459.t1	GO:0005887,GO:0016021
nxHelBake1.g12677.t1	
nxHelBake1.g13393.t1	
nxHelBake1.g8965.t1	GO:0006627,GO:0004222,GO:0046872,GO:0017087
nxHelBake1.g12254.t1	GO:0005515,GO:0006888,GO:0048208,GO:0042802
nxHelBake1.g4638.t1	
nxHelBake1.g3566.t1	GO:0005892
nxHelBake1.g6991.t1	
nxHelBake1.g7044.t1	
nxHelBake1.g18199.t1	
nxHelBake1.g3254.t1	
nxHelBake1.g3719.t2	GO:0016021
nxHelBake1.g4050.t1	GO:0006508,GO:0008270,GO:0008237
nxHelBake1.g4633.t2	
nxHelBake1.g8535.t4	GO:0043161,GO:0004298,GO:0005839,GO:0051603
nxHelBake1.g18366.t2	
nxHelBake1.g7201.t1	GO:0004197,GO:0005634,GO:0006508
nxHelBake1.g1013.t1	
nxHelBake1.g8237.t1	GO:0017119
nxHelBake1.g15176.t1	GO:0016787
nxHelBake1.g2661.t1	
nxHelBake1.g10399.t1	GO:0003676
nxHelBake1.g2235.t1	
nxHelBake1.g1262.t1	
nxHelBake1.g2623.t1	GO:0016491
nxHelBake1.g8013.t1	
nxHelBake1.g14973.t1	
nxHelBake1.g9255.t1	GO:0006281
nxHelBake1.g18281.t1	
nxHelBake1.g10268.t1	GO:0055085,GO:0022857
nxHelBake1.g13149.t1	
nxHelBake1.g14696.t1	
nxHelBake1.g3943.t1	
nxHelBake1.g3950.t1	
nxHelBake1.g5129.t4	
nxHelBake1.g9976.t1	
nxHelBake1.g17474.t2	GO:0006464,GO:0018095
nxHelBake1.g523.t1	
nxHelBake1.g15920.t1	GO:0042302
nxHelBake1.g12108.t1	GO:0005548,GO:0015914
nxHelBake1.g1021.t1	
nxHelBake1.g18431.t2	
nxHelBake1.g14566.t1	
nxHelBake1.g19108.t1	
nxHelBake1.g18520.t1	
nxHelBake1.g2422.t1	
nxHelBake1.g2419.t1	
nxHelBake1.g14883.t1	
nxHelBake1.g18252.t1	
nxHelBake1.g6842.t1	
nxHelBake1.g5408.t2	
nxHelBake1.g9641.t1	GO:0006508,GO:0004252
nxHelBake1.g18539.t1	GO:0000027
nxHelBake1.g8304.t1	GO:0009058,GO:0016844
nxHelBake1.g6009.t2	GO:0036374,GO:0006751
nxHelBake1.g583.t1	
nxHelBake1.g1647.t1	GO:0006508,GO:0008234
nxHelBake1.g3467.t1	
nxHelBake1.g6993.t1	GO:0004499,GO:0050660,GO:0050661
nxHelBake1.g10397.t1	
nxHelBake1.g11402.t1	GO:0046855
nxHelBake1.g14940.t1	
nxHelBake1.g10338.t2	
nxHelBake1.g17048.t1	
nxHelBake1.g8074.t1	
nxHelBake1.g2063.t1	GO:0004888,GO:0034220,GO:0016021,GO:0005230,GO:0006811,GO:0005216
nxHelBake1.g8804.t1	
nxHelBake1.g18942.t1	GO:0006508,GO:0008236
nxHelBake1.g16575.t2	
nxHelBake1.g11748.t1	
nxHelBake1.g147.t2	GO:0005515
nxHelBake1.g7223.t1	
nxHelBake1.g12422.t1	GO:0005515
nxHelBake1.g7737.t1	GO:0003676
nxHelBake1.g5221.t1	
nxHelBake1.g10859.t1	
nxHelBake1.g13256.t1	
nxHelBake1.g15338.t1	GO:0005515,GO:0004672,GO:0006468
nxHelBake1.g17530.t1	
nxHelBake1.g12792.t1	
nxHelBake1.g14002.t1	
nxHelBake1.g15515.t1	
nxHelBake1.g6552.t1	
nxHelBake1.g345.t3	GO:0000184
nxHelBake1.g15341.t1	GO:0003824
nxHelBake1.g7728.t1	GO:0008194
nxHelBake1.g9209.t2	
nxHelBake1.g10924.t1	GO:0005515,GO:0007165,GO:0005856
nxHelBake1.g10623.t3	
nxHelBake1.g3672.t1	
nxHelBake1.g14886.t1	GO:0004888,GO:0034220,GO:0016021,GO:0005230,GO:0006811,GO:0005216
nxHelBake1.g10705.t1	
nxHelBake1.g15733.t1	
nxHelBake1.g17706.t3	
nxHelBake1.g14621.t1	
nxHelBake1.g575.t1	GO:0006165,GO:0006183,GO:0004550,GO:0006241,GO:0006228
nxHelBake1.g3673.t1	
nxHelBake1.g5729.t2	
nxHelBake1.g3308.t4	GO:0016627,GO:0050660
nxHelBake1.g18208.t1	
nxHelBake1.g15777.t1	GO:0006310,GO:0003677,GO:0003910,GO:0005524,GO:0051103,GO:0006281
nxHelBake1.g10640.t2	
nxHelBake1.g1921.t2	GO:0008237
nxHelBake1.g12628.t1	
nxHelBake1.g17993.t1	
nxHelBake1.g7809.t1	GO:0003824
nxHelBake1.g9983.t2	GO:0003779,GO:0007155,GO:0001726,GO:0005925,GO:0005200,GO:0051015
nxHelBake1.g3506.t2	
nxHelBake1.g8979.t1	
nxHelBake1.g17423.t1	GO:0007165,GO:0008289
nxHelBake1.g3787.t1	GO:0004591,GO:0030976,GO:0016624,GO:0006099
nxHelBake1.g17768.t1	GO:0015935,GO:0003723,GO:0006412,GO:0003735
nxHelBake1.g13321.t1	GO:0055085
nxHelBake1.g3893.t3	
nxHelBake1.g4866.t1	GO:0005515
nxHelBake1.g7824.t1	
nxHelBake1.g10155.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g9800.t1	GO:0004888,GO:0034220,GO:0016021,GO:0005230,GO:0006811,GO:0005216
nxHelBake1.g13736.t1	
nxHelBake1.g11036.t1	
nxHelBake1.g9474.t1	
nxHelBake1.g11541.t2	
nxHelBake1.g12326.t1	
nxHelBake1.g17016.t1	GO:0006508,GO:0004198
nxHelBake1.g1545.t1	
nxHelBake1.g1701.t1	
nxHelBake1.g6460.t1	
nxHelBake1.g16417.t1	GO:0005763
nxHelBake1.g14965.t1	
nxHelBake1.g6045.t1	GO:0006811,GO:0005230,GO:0016021
nxHelBake1.g11383.t1	
nxHelBake1.g9520.t1	
nxHelBake1.g7518.t1	
nxHelBake1.g8081.t1	
nxHelBake1.g18140.t1	GO:0055085,GO:0016020,GO:0022857
nxHelBake1.g10752.t1	
nxHelBake1.g8864.t1	GO:0009986
nxHelBake1.g3648.t1	GO:0005975,GO:0008107,GO:0016020
nxHelBake1.g16927.t1	
nxHelBake1.g584.t2	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g5234.t1	GO:0007606,GO:0016021
nxHelBake1.g1176.t1	GO:0015031,GO:0030176
nxHelBake1.g10480.t1	
nxHelBake1.g16635.t1	GO:0055085,GO:0005524,GO:0140359,GO:0016021
nxHelBake1.g8809.t1	
nxHelBake1.g12054.t1	
nxHelBake1.g7596.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g15941.t1	
nxHelBake1.g6339.t1	GO:0042302
nxHelBake1.g10794.t1	GO:0005794,GO:0005515,GOLGI-ASSOCIATED PDZ AND COILED-COIL MOTIF-CONTAINING,GO:0043004
nxHelBake1.g8991.t1	GO:0004888,GO:0034220,GO:0016021,GO:0005230,GO:0006811,GO:0005216
nxHelBake1.g10329.t1	GO:0006511
nxHelBake1.g18890.t1	
nxHelBake1.g9904.t1	
nxHelBake1.g2161.t1	
nxHelBake1.g16285.t1	
nxHelBake1.g6106.t1	
nxHelBake1.g11878.t1	
nxHelBake1.g5026.t1	GO:0097428
nxHelBake1.g7858.t1	
nxHelBake1.g10720.t1	GO:0030215,GO:0005515
nxHelBake1.g16259.t1	GO:0034316,GO:0003779,GO:0071933
nxHelBake1.g6848.t1	GO:0005515
nxHelBake1.g8092.t2	
nxHelBake1.g14746.t2	GO:0008237
nxHelBake1.g4013.t1	GO:0005523,GO:0051694
nxHelBake1.g18159.t1	GO:0061817,GO:0006869
nxHelBake1.g4461.t2	GO:0016491
nxHelBake1.g4481.t3	GO:0005515
nxHelBake1.g847.t1	GO:0003918,GO:0006265,GO:0006259,GO:0003677,GO:0005524
nxHelBake1.g15522.t1	GO:0008289
nxHelBake1.g9673.t1	
nxHelBake1.g3951.t1	
nxHelBake1.g9101.t1	
nxHelBake1.g4315.t1	
nxHelBake1.g10783.t1	GO:0005515
nxHelBake1.g3477.t2	GO:1902751,GO:0006470,GO:0004725
nxHelBake1.g6520.t1	GO:0008289
nxHelBake1.g9483.t1	
nxHelBake1.g903.t1	
nxHelBake1.g15630.t1	
nxHelBake1.g2680.t1	
nxHelBake1.g12916.t2	
nxHelBake1.g11498.t4	
nxHelBake1.g9174.t1	GO:0006457,GO:0000413,GO:0003723,GO:0003676,GO:0003755
nxHelBake1.g12151.t1	
nxHelBake1.g15386.t1	
nxHelBake1.g6051.t2	GO:0003677,GO:0003676,GO:0003887,GO:0000166
nxHelBake1.g8083.t1	GO:0004930,GO:0007186,GO:0004965,GO:0016021
nxHelBake1.g505.t1	GO:0005515,GO:0007165
nxHelBake1.g15953.t1	
nxHelBake1.g7028.t2	
nxHelBake1.g16993.t1	
nxHelBake1.g8470.t1	
nxHelBake1.g6969.t2	GO:0008270
nxHelBake1.g440.t1	
nxHelBake1.g6496.t1	GO:0003677,GO:0006355,GO:0003700,GO:0007165
nxHelBake1.g9846.t1	
nxHelBake1.g5618.t1	
nxHelBake1.g6662.t1	GO:0016746
nxHelBake1.g13969.t1	
nxHelBake1.g1077.t1	
nxHelBake1.g3586.t1	
nxHelBake1.g10054.t1	GO:0005643,GO:0017056
nxHelBake1.g3237.t1	GO:0004930,GO:0007186,GO:0016020,GO:0016021
nxHelBake1.g6741.t1	GO:0008270,GO:0004089
nxHelBake1.g390.t1	GO:0042438,GO:0016716,GO:0016491,GO:0005507
nxHelBake1.g1049.t1	
nxHelBake1.g10469.t1	
nxHelBake1.g18012.t2	GO:0046872
nxHelBake1.g11489.t1	GO:0004518
nxHelBake1.g367.t2	
nxHelBake1.g11899.t1	GO:0005525,GO:0003746,GO:0003924,GO:0006414
nxHelBake1.g3073.t1	
nxHelBake1.g17565.t5	GO:0008299,GO:0005524,GO:0004496,GO:0005737
nxHelBake1.g10516.t7	GO:0005515
nxHelBake1.g3043.t1	
nxHelBake1.g14957.t1	
nxHelBake1.g3721.t1	
