gene	dS	sp
Bm3519b	0.0264	bmalayi_vs_bpahangi
Bm7287	0.0471	bmalayi_vs_bpahangi
Bm6514	0.0238	bmalayi_vs_bpahangi
Bm14052	0.0297	bmalayi_vs_bpahangi
Bm5333a	0.0182	bmalayi_vs_bpahangi
Bm8591	0.0312	bmalayi_vs_bpahangi
Bm4452a	0.0295	bmalayi_vs_bpahangi
Bm2938	0.0192	bmalayi_vs_bpahangi
Bm6415	0.0621	bmalayi_vs_bpahangi
Bm2636	0.012	bmalayi_vs_bpahangi
Bm8308a	0.0464	bmalayi_vs_bpahangi
Bm7469	0.0179	bmalayi_vs_bpahangi
Bm6412a	0.0339	bmalayi_vs_bpahangi
Bm5588a	0.0321	bmalayi_vs_bpahangi
Bm5598	0.0094	bmalayi_vs_bpahangi
Bm6816b	0.0248	bmalayi_vs_bpahangi
Bm3177a	0.063	bmalayi_vs_bpahangi
Bm3860	0.2341	bmalayi_vs_bpahangi
Bm8312	0.0587	bmalayi_vs_bpahangi
Bm11176a	0.0307	bmalayi_vs_bpahangi
Bm7576	0.0254	bmalayi_vs_bpahangi
Bm9503	0.0132	bmalayi_vs_bpahangi
Bm4338a	0.022	bmalayi_vs_bpahangi
Bm6882a	0.004	bmalayi_vs_bpahangi
Bm5395a	0.0151	bmalayi_vs_bpahangi
Bm5830	0.1181	bmalayi_vs_bpahangi
Bm5327a	0.0387	bmalayi_vs_bpahangi
Bm7441	0.0303	bmalayi_vs_bpahangi
Bm874	0.0134	bmalayi_vs_bpahangi
Bm2755a	0.0191	bmalayi_vs_bpahangi
Bm5083	0.0225	bmalayi_vs_bpahangi
Bm1809a	0.068	bmalayi_vs_bpahangi
Bm6745a	0.016	bmalayi_vs_bpahangi
Bm3384	0.0335	bmalayi_vs_bpahangi
Bm3752a	0.0074	bmalayi_vs_bpahangi
Bm4249a	0.0599	bmalayi_vs_bpahangi
Bm11123a	0.018	bmalayi_vs_bpahangi
Bm6445	0.0415	bmalayi_vs_bpahangi
Bm7090	0.0284	bmalayi_vs_bpahangi
Bm7229	0.039	bmalayi_vs_bpahangi
Bm2109b	0.0107	bmalayi_vs_bpahangi
Bm5914b	0.0485	bmalayi_vs_bpahangi
Bm2523b	0.0262	bmalayi_vs_bpahangi
Bm2495	0.0641	bmalayi_vs_bpahangi
Bm5439	0.0253	bmalayi_vs_bpahangi
Bm7386	0.0235	bmalayi_vs_bpahangi
Bm5536	0.0244	bmalayi_vs_bpahangi
Bm8028	0.0196	bmalayi_vs_bpahangi
Bm6144	0.023	bmalayi_vs_bpahangi
Bm8766a	0.0582	bmalayi_vs_bpahangi
Bm3568	0.031	bmalayi_vs_bpahangi
Bm4592a	0.0227	bmalayi_vs_bpahangi
Bm6052	0.0295	bmalayi_vs_bpahangi
Bm18201	0.0255	bmalayi_vs_bpahangi
Bm4753a	0.017	bmalayi_vs_bpahangi
Bm4415	0.0106	bmalayi_vs_bpahangi
Bm18192	0.0459	bmalayi_vs_bpahangi
Bm7399	0.0671	bmalayi_vs_bpahangi
Bm4878a	0.0254	bmalayi_vs_bpahangi
Bm5540	0.1024	bmalayi_vs_bpahangi
Bm1800	0.0217	bmalayi_vs_bpahangi
Bm1744d	0.0514	bmalayi_vs_bpahangi
Bm13662a	0.0234	bmalayi_vs_bpahangi
Bm7400a	0.0407	bmalayi_vs_bpahangi
Bm3053a	0.018	bmalayi_vs_bpahangi
Bm13925	0.0129	bmalayi_vs_bpahangi
Bm6842	0.0232	bmalayi_vs_bpahangi
Bm13997	0.0195	bmalayi_vs_bpahangi
Bm7611	0.0384	bmalayi_vs_bpahangi
Bm3450	0.0288	bmalayi_vs_bpahangi
Bm2526	0.0311	bmalayi_vs_bpahangi
Bm2518a	0.0329	bmalayi_vs_bpahangi
Bm4144a	0.0571	bmalayi_vs_bpahangi
Bm2749	0.0681	bmalayi_vs_bpahangi
Bm5367a	0.0346	bmalayi_vs_bpahangi
Bm5549b	0.1055	bmalayi_vs_bpahangi
Bm3846a	0.0437	bmalayi_vs_bpahangi
Bm2522	0.0304	bmalayi_vs_bpahangi
Bm6925	0.0418	bmalayi_vs_bpahangi
Bm14791	0.033	bmalayi_vs_bpahangi
Bm1997a	0.0119	bmalayi_vs_bpahangi
Bm2301	0.0496	bmalayi_vs_bpahangi
Bm4110	0.0298	bmalayi_vs_bpahangi
Bm13797	0.0235	bmalayi_vs_bpahangi
Bm264	0.0369	bmalayi_vs_bpahangi
Bm6006	2e-04	bmalayi_vs_bpahangi
Bm4809	0.0281	bmalayi_vs_bpahangi
Bm3453a	0.0205	bmalayi_vs_bpahangi
Bm3354a	0.0269	bmalayi_vs_bpahangi
Bm2519b	0.0259	bmalayi_vs_bpahangi
Bm6585	0.0615	bmalayi_vs_bpahangi
Bm3884a	0.0369	bmalayi_vs_bpahangi
Bm3676b	0.1001	bmalayi_vs_bpahangi
Bm6324	0.0248	bmalayi_vs_bpahangi
Bm1817	0.0275	bmalayi_vs_bpahangi
Bm13957	0.1009	bmalayi_vs_bpahangi
Bm14087b	0.0443	bmalayi_vs_bpahangi
Bm3667	0.0373	bmalayi_vs_bpahangi
Bm13992	0.0222	bmalayi_vs_bpahangi
Bm4271a	0.0169	bmalayi_vs_bpahangi
Bm8839a	0.0064	bmalayi_vs_bpahangi
Bm2304	0.0145	bmalayi_vs_bpahangi
Bm5937	0.028	bmalayi_vs_bpahangi
Bm4234	0.0262	bmalayi_vs_bpahangi
Bm3393a	0.0317	bmalayi_vs_bpahangi
Bm4288	0.0198	bmalayi_vs_bpahangi
Bm1803	0.0285	bmalayi_vs_bpahangi
Bm3461	0.0191	bmalayi_vs_bpahangi
Bm6132	0.0251	bmalayi_vs_bpahangi
Bm3019	0.0197	bmalayi_vs_bpahangi
Bm7203b	0.0439	bmalayi_vs_bpahangi
Bm5193a	0.0197	bmalayi_vs_bpahangi
Bm3628	0.0132	bmalayi_vs_bpahangi
Bm14033b	1e-04	bmalayi_vs_bpahangi
Bm2995	0.0097	bmalayi_vs_bpahangi
Bm5117	0.0284	bmalayi_vs_bpahangi
Bm3514a	0.0404	bmalayi_vs_bpahangi
Bm4765a	0.0452	bmalayi_vs_bpahangi
Bm6548	0.0129	bmalayi_vs_bpahangi
Bm6556	0.0216	bmalayi_vs_bpahangi
Bm8788	0.2157	bmalayi_vs_bpahangi
Bm12579	0.0281	bmalayi_vs_bpahangi
Bm5530	0.0232	bmalayi_vs_bpahangi
Bm7265	0.0384	bmalayi_vs_bpahangi
Bm6496a	0.0927	bmalayi_vs_bpahangi
Bm5029a	0.0536	bmalayi_vs_bpahangi
Bm9570	0	bmalayi_vs_bpahangi
Bm13018	0.0246	bmalayi_vs_bpahangi
Bm3041a	0.011	bmalayi_vs_bpahangi
Bm2208a	0.0793	bmalayi_vs_bpahangi
Bm3710	0.0161	bmalayi_vs_bpahangi
Bm3301	0.0787	bmalayi_vs_bpahangi
Bm17600	0.0366	bmalayi_vs_bpahangi
Bm5808	0.0556	bmalayi_vs_bpahangi
Bm6410	0.0073	bmalayi_vs_bpahangi
Bm7324	0.0313	bmalayi_vs_bpahangi
Bm4774	0.0379	bmalayi_vs_bpahangi
Bm1884	0.0383	bmalayi_vs_bpahangi
Bm3429a	0.036	bmalayi_vs_bpahangi
Bm14041	0.0048	bmalayi_vs_bpahangi
Bm3655	0.018	bmalayi_vs_bpahangi
Bm3822	0.0813	bmalayi_vs_bpahangi
Bm7290a	0.0442	bmalayi_vs_bpahangi
Bm2136	0.0188	bmalayi_vs_bpahangi
Bm3995a	0.0373	bmalayi_vs_bpahangi
Bm6896	0.021	bmalayi_vs_bpahangi
Bm5255	0.0453	bmalayi_vs_bpahangi
Bm5892	0.0426	bmalayi_vs_bpahangi
Bm11055	0.0581	bmalayi_vs_bpahangi
Bm2544	0.0263	bmalayi_vs_bpahangi
Bm18134	0.0507	bmalayi_vs_bpahangi
Bm2139	0.0422	bmalayi_vs_bpahangi
Bm3608	0.1655	bmalayi_vs_bpahangi
Bm2914	0.0249	bmalayi_vs_bpahangi
Bm7506a	0.024	bmalayi_vs_bpahangi
Bm13745	0.0368	bmalayi_vs_bpahangi
Bm13679	0.0196	bmalayi_vs_bpahangi
Bm4623	0.015	bmalayi_vs_bpahangi
Bm1728	0.01	bmalayi_vs_bpahangi
Bm8021	0.058	bmalayi_vs_bpahangi
Bm6551	0.0227	bmalayi_vs_bpahangi
Bm14082	0.0236	bmalayi_vs_bpahangi
Bm4535	0.0258	bmalayi_vs_bpahangi
Bm2179	0.0189	bmalayi_vs_bpahangi
Bm12066	0.0214	bmalayi_vs_bpahangi
Bm5748	0.0215	bmalayi_vs_bpahangi
Bm5109	0.0308	bmalayi_vs_bpahangi
Bm4468a	0.0162	bmalayi_vs_bpahangi
Bm4645a	0.0207	bmalayi_vs_bpahangi
Bm5537	0.0302	bmalayi_vs_bpahangi
Bm2702	0.0637	bmalayi_vs_bpahangi
Bm7027	0.0221	bmalayi_vs_bpahangi
Bm7453	0.0854	bmalayi_vs_bpahangi
Bm2913a	0.0207	bmalayi_vs_bpahangi
Bm12361	0.0208	bmalayi_vs_bpahangi
Bm5097	0.0185	bmalayi_vs_bpahangi
Bm5856b	0.0355	bmalayi_vs_bpahangi
Bm956	0.0315	bmalayi_vs_bpahangi
Bm6650	0.0309	bmalayi_vs_bpahangi
Bm3324a	0.0211	bmalayi_vs_bpahangi
Bm7072	0.0229	bmalayi_vs_bpahangi
Bm7300b	0.0268	bmalayi_vs_bpahangi
Bm11981	0.0176	bmalayi_vs_bpahangi
Bm12287	0.0183	bmalayi_vs_bpahangi
Bm4952b	0.0215	bmalayi_vs_bpahangi
Bm2385	0.0264	bmalayi_vs_bpahangi
Bm13920	0.0586	bmalayi_vs_bpahangi
Bm17399	0.0318	bmalayi_vs_bpahangi
Bm6318a	0.0154	bmalayi_vs_bpahangi
Bm16923	0.0237	bmalayi_vs_bpahangi
Bm6948a	0.0435	bmalayi_vs_bpahangi
Bm2148a	0.0565	bmalayi_vs_bpahangi
Bm13657a	0.0343	bmalayi_vs_bpahangi
Bm13794	0.0815	bmalayi_vs_bpahangi
Bm13815	0.0316	bmalayi_vs_bpahangi
Bm2633	0.0376	bmalayi_vs_bpahangi
Bm4930	0.0261	bmalayi_vs_bpahangi
Bm9331	0.0651	bmalayi_vs_bpahangi
Bm4601	0.061	bmalayi_vs_bpahangi
Bm3201c	0.033	bmalayi_vs_bpahangi
Bm3915a	0.0161	bmalayi_vs_bpahangi
Bm2788	0.0267	bmalayi_vs_bpahangi
Bm5805	0.0302	bmalayi_vs_bpahangi
Bm6353	0.0174	bmalayi_vs_bpahangi
Bm4819	0.0099	bmalayi_vs_bpahangi
Bm2284	0.0549	bmalayi_vs_bpahangi
Bm3312	0.0267	bmalayi_vs_bpahangi
Bm5054a	0.0216	bmalayi_vs_bpahangi
Bm14038a	0.0078	bmalayi_vs_bpahangi
Bm14040	0.051	bmalayi_vs_bpahangi
Bm3076	0.0216	bmalayi_vs_bpahangi
Bm6818	0.0338	bmalayi_vs_bpahangi
Bm6684	0.0309	bmalayi_vs_bpahangi
Bm10786	0.0325	bmalayi_vs_bpahangi
Bm11145	0.0281	bmalayi_vs_bpahangi
Bm13923a	0.0281	bmalayi_vs_bpahangi
Bm6201	0.0329	bmalayi_vs_bpahangi
Bm16891	0.0422	bmalayi_vs_bpahangi
Bm6181	0.2519	bmalayi_vs_bpahangi
Bm5893	0.0172	bmalayi_vs_bpahangi
Bm5948	0.0186	bmalayi_vs_bpahangi
Bm14081	0.1806	bmalayi_vs_bpahangi
Bm6289b	0.0208	bmalayi_vs_bpahangi
Bm3436a	0.0226	bmalayi_vs_bpahangi
Bm2779	0.0333	bmalayi_vs_bpahangi
Bm2762a	0.0205	bmalayi_vs_bpahangi
Bm3713	0.0284	bmalayi_vs_bpahangi
Bm1711a	0.0306	bmalayi_vs_bpahangi
Bm5749	0.0427	bmalayi_vs_bpahangi
Bm4847	0.0763	bmalayi_vs_bpahangi
Bm6153	0.017	bmalayi_vs_bpahangi
Bm2388b	0.0191	bmalayi_vs_bpahangi
Bm4850	0.0488	bmalayi_vs_bpahangi
Bm8354	0.0328	bmalayi_vs_bpahangi
Bm2356a	0.0294	bmalayi_vs_bpahangi
Bm4806b	0.0456	bmalayi_vs_bpahangi
Bm12468	0.091	bmalayi_vs_bpahangi
Bm6787b	0.0097	bmalayi_vs_bpahangi
Bm4310	0.0347	bmalayi_vs_bpahangi
Bm10448	0.0133	bmalayi_vs_bpahangi
Bm2829	0	bmalayi_vs_bpahangi
Bm2435	0.0099	bmalayi_vs_bpahangi
Bm7593a	0.0298	bmalayi_vs_bpahangi
Bm9073	0.0338	bmalayi_vs_bpahangi
Bm7285	0.0256	bmalayi_vs_bpahangi
Bm2563	0.0131	bmalayi_vs_bpahangi
Bm4063	0.0302	bmalayi_vs_bpahangi
Bm7372a	0.0224	bmalayi_vs_bpahangi
Bm7342a	0.0156	bmalayi_vs_bpahangi
Bm12606a	0.0546	bmalayi_vs_bpahangi
Bm3625a	0.0142	bmalayi_vs_bpahangi
Bm2280	0.0271	bmalayi_vs_bpahangi
Bm7038	0.0537	bmalayi_vs_bpahangi
Bm2826b	0.0489	bmalayi_vs_bpahangi
Bm5951	0.06	bmalayi_vs_bpahangi
Bm5006a	0.03	bmalayi_vs_bpahangi
Bm2026	0.0209	bmalayi_vs_bpahangi
Bm3582a	0.0219	bmalayi_vs_bpahangi
Bm5199	0.0219	bmalayi_vs_bpahangi
Bm5350a	0.2613	bmalayi_vs_bpahangi
Bm1741a	0.0232	bmalayi_vs_bpahangi
Bm3282a	0.0182	bmalayi_vs_bpahangi
Bm7240	0.0415	bmalayi_vs_bpahangi
Bm5299	0.0352	bmalayi_vs_bpahangi
Bm2764	0.0078	bmalayi_vs_bpahangi
Bm12235	0.0233	bmalayi_vs_bpahangi
Bm1959b	0.0697	bmalayi_vs_bpahangi
Bm6093	0.0251	bmalayi_vs_bpahangi
Bm2456d	0.0662	bmalayi_vs_bpahangi
Bm14084	0.0319	bmalayi_vs_bpahangi
Bm3203	0.064	bmalayi_vs_bpahangi
Bm18058	0.0286	bmalayi_vs_bpahangi
Bm9858a	0.0427	bmalayi_vs_bpahangi
Bm7137	0.0643	bmalayi_vs_bpahangi
Bm5927	0.0169	bmalayi_vs_bpahangi
Bm5766	0.0257	bmalayi_vs_bpahangi
Bm6403	0.0363	bmalayi_vs_bpahangi
Bm7194	0.0129	bmalayi_vs_bpahangi
Bm10273a	0.031	bmalayi_vs_bpahangi
Bm6672a	0.0279	bmalayi_vs_bpahangi
Bm7602	0.0532	bmalayi_vs_bpahangi
Bm6802	0.0147	bmalayi_vs_bpahangi
Bm7282	0.0135	bmalayi_vs_bpahangi
Bm6383a	0.0672	bmalayi_vs_bpahangi
Bm6646a	0.0188	bmalayi_vs_bpahangi
Bm2309	0.0115	bmalayi_vs_bpahangi
Bm4292a	0.0147	bmalayi_vs_bpahangi
Bm3570	0.0181	bmalayi_vs_bpahangi
Bm3191	0.0068	bmalayi_vs_bpahangi
Bm3386	0.0162	bmalayi_vs_bpahangi
Bm5915	0.0138	bmalayi_vs_bpahangi
Bm6733	0.0316	bmalayi_vs_bpahangi
Bm7085	0.0335	bmalayi_vs_bpahangi
Bm13858b	0.0604	bmalayi_vs_bpahangi
Bm2359a	0.0451	bmalayi_vs_bpahangi
Bm3737	0.0435	bmalayi_vs_bpahangi
Bm4567	0.0474	bmalayi_vs_bpahangi
Bm2155	0.0251	bmalayi_vs_bpahangi
Bm6914	0.0138	bmalayi_vs_bpahangi
Bm2947	0.0192	bmalayi_vs_bpahangi
Bm5971	0.0292	bmalayi_vs_bpahangi
Bm13956a	0.0323	bmalayi_vs_bpahangi
Bm2019	0.0212	bmalayi_vs_bpahangi
Bm7626	0.0576	bmalayi_vs_bpahangi
Bm6572	0.041	bmalayi_vs_bpahangi
Bm4801a	0.0293	bmalayi_vs_bpahangi
Bm6822	0.0098	bmalayi_vs_bpahangi
Bm2709a	0.05	bmalayi_vs_bpahangi
Bm3652	0.0241	bmalayi_vs_bpahangi
Bm1957	0.0263	bmalayi_vs_bpahangi
Bm4024	0.0215	bmalayi_vs_bpahangi
Bm4119	0.024	bmalayi_vs_bpahangi
Bm7304a	0.0215	bmalayi_vs_bpahangi
Bm4198b	0.0577	bmalayi_vs_bpahangi
Bm13707	0.0187	bmalayi_vs_bpahangi
Bm5843	0.0255	bmalayi_vs_bpahangi
Bm3704	0.0135	bmalayi_vs_bpahangi
Bm13861a	0.025	bmalayi_vs_bpahangi
Bm4591	0.0167	bmalayi_vs_bpahangi
Bm4272	0.027	bmalayi_vs_bpahangi
Bm3464	0.0291	bmalayi_vs_bpahangi
Bm2131b	0.0308	bmalayi_vs_bpahangi
Bm6969a	0.0465	bmalayi_vs_bpahangi
Bm3959	0.0187	bmalayi_vs_bpahangi
Bm3793	0.0188	bmalayi_vs_bpahangi
Bm13903	0.0064	bmalayi_vs_bpahangi
Bm13889	0.0115	bmalayi_vs_bpahangi
Bm4712	0.0245	bmalayi_vs_bpahangi
Bm7526a	0.0183	bmalayi_vs_bpahangi
Bm6392	0.0236	bmalayi_vs_bpahangi
Bm7673	0.016	bmalayi_vs_bpahangi
Bm7448	0.0252	bmalayi_vs_bpahangi
Bm13809	0.0376	bmalayi_vs_bpahangi
Bm12243a	0.0469	bmalayi_vs_bpahangi
Bm1956	0.0112	bmalayi_vs_bpahangi
Bm6188c	0.0618	bmalayi_vs_bpahangi
Bm3509	0.0213	bmalayi_vs_bpahangi
Bm5430a	0.0253	bmalayi_vs_bpahangi
Bm3276a	0.0378	bmalayi_vs_bpahangi
Bm4821a	0.0149	bmalayi_vs_bpahangi
Bm5078	0.017	bmalayi_vs_bpahangi
Bm2674	0.0586	bmalayi_vs_bpahangi
Bm3055	0.0306	bmalayi_vs_bpahangi
Bm13757a	0.0253	bmalayi_vs_bpahangi
Bm7444	0.0238	bmalayi_vs_bpahangi
Bm13825a	0.0217	bmalayi_vs_bpahangi
Bm7151	0.0587	bmalayi_vs_bpahangi
Bm2508a	0.0272	bmalayi_vs_bpahangi
Bm6304a	0.0279	bmalayi_vs_bpahangi
Bm7176	0.0277	bmalayi_vs_bpahangi
Bm4611	0.036	bmalayi_vs_bpahangi
Bm5284	0.018	bmalayi_vs_bpahangi
Bm6505a	0.0285	bmalayi_vs_bpahangi
Bm2350a	0.0289	bmalayi_vs_bpahangi
Bm7493	0.0395	bmalayi_vs_bpahangi
Bm630a	0.0322	bmalayi_vs_bpahangi
Bm3112	0.0267	bmalayi_vs_bpahangi
Bm6110	0.0739	bmalayi_vs_bpahangi
Bm7598	0.0499	bmalayi_vs_bpahangi
Bm5545	0.0117	bmalayi_vs_bpahangi
Bm1926a	0.0439	bmalayi_vs_bpahangi
Bm5136a	0.0339	bmalayi_vs_bpahangi
Bm2410	0.0108	bmalayi_vs_bpahangi
Bm6641b	0.0339	bmalayi_vs_bpahangi
Bm7175	0.0648	bmalayi_vs_bpahangi
Bm4966b	0.0843	bmalayi_vs_bpahangi
Bm14028	0.0554	bmalayi_vs_bpahangi
Bm1869a	0.0106	bmalayi_vs_bpahangi
Bm3702c	0.0457	bmalayi_vs_bpahangi
Bm3470	0.046	bmalayi_vs_bpahangi
Bm5796	0	bmalayi_vs_bpahangi
Bm5661	0.0559	bmalayi_vs_bpahangi
Bm7239	0.0626	bmalayi_vs_bpahangi
Bm6022a	0.0211	bmalayi_vs_bpahangi
Bm6645	0.0223	bmalayi_vs_bpahangi
Bm1979a	0.0556	bmalayi_vs_bpahangi
Bm5233	0.0309	bmalayi_vs_bpahangi
Bm4994	0.032	bmalayi_vs_bpahangi
Bm5520a	0.0271	bmalayi_vs_bpahangi
Bm3623b	0.0161	bmalayi_vs_bpahangi
Bm6138a	0.0263	bmalayi_vs_bpahangi
Bm3257a	0.0087	bmalayi_vs_bpahangi
Bm5148a	0.0317	bmalayi_vs_bpahangi
Bm2610	0.0312	bmalayi_vs_bpahangi
Bm13670a	0.0125	bmalayi_vs_bpahangi
Bm7643a	0.0331	bmalayi_vs_bpahangi
Bm2708	0.043	bmalayi_vs_bpahangi
Bm7001	0.0301	bmalayi_vs_bpahangi
Bm4682b	0.0775	bmalayi_vs_bpahangi
Bm2665	0.0483	bmalayi_vs_bpahangi
Bm2763a	0.0248	bmalayi_vs_bpahangi
Bm1721	0.0303	bmalayi_vs_bpahangi
Bm2370	0.0134	bmalayi_vs_bpahangi
Bm2971a	0.0393	bmalayi_vs_bpahangi
Bm7619	0.0297	bmalayi_vs_bpahangi
Bm4681	0.03	bmalayi_vs_bpahangi
Bm6237	0.0396	bmalayi_vs_bpahangi
Bm6420	0.0303	bmalayi_vs_bpahangi
Bm5207a	0.0364	bmalayi_vs_bpahangi
Bm5336a	0.0122	bmalayi_vs_bpahangi
Bm7606	0.0263	bmalayi_vs_bpahangi
Bm13035	0.056	bmalayi_vs_bpahangi
Bm1815	0.0369	bmalayi_vs_bpahangi
Bm1841	0.0453	bmalayi_vs_bpahangi
Bm13317	0.0221	bmalayi_vs_bpahangi
Bm5258	0.0397	bmalayi_vs_bpahangi
Bm14051	0.1403	bmalayi_vs_bpahangi
Bm6771a	0.015	bmalayi_vs_bpahangi
Bm2063	0.0327	bmalayi_vs_bpahangi
Bm6363a	0.0205	bmalayi_vs_bpahangi
Bm2946	0.0435	bmalayi_vs_bpahangi
Bm6176	0.0114	bmalayi_vs_bpahangi
Bm13808	0.016	bmalayi_vs_bpahangi
Bm3797	0.034	bmalayi_vs_bpahangi
Bm1792	0.0467	bmalayi_vs_bpahangi
Bm2500	0.0194	bmalayi_vs_bpahangi
Bm6931	0.062	bmalayi_vs_bpahangi
Bm6708	0.0246	bmalayi_vs_bpahangi
Bm2244	0.0203	bmalayi_vs_bpahangi
Bm11947	0.029	bmalayi_vs_bpahangi
Bm3581a	0.0412	bmalayi_vs_bpahangi
Bm7048	0.0245	bmalayi_vs_bpahangi
Bm2458	0.0275	bmalayi_vs_bpahangi
Bm6579a	0.031	bmalayi_vs_bpahangi
Bm2053	0.0292	bmalayi_vs_bpahangi
Bm7543	0.0357	bmalayi_vs_bpahangi
Bm2295	0.0139	bmalayi_vs_bpahangi
Bm10931a	0.017	bmalayi_vs_bpahangi
Bm7360a	0.0296	bmalayi_vs_bpahangi
Bm8515a	0.0156	bmalayi_vs_bpahangi
Bm3237d	0.0472	bmalayi_vs_bpahangi
Bm13726	0.0252	bmalayi_vs_bpahangi
Bm6252	0.0161	bmalayi_vs_bpahangi
Bm3133a	0.0251	bmalayi_vs_bpahangi
Bm2007	0.0603	bmalayi_vs_bpahangi
Bm14079	0	bmalayi_vs_bpahangi
Bm2733	0.0382	bmalayi_vs_bpahangi
Bm4134	0.0268	bmalayi_vs_bpahangi
Bm6622	0.0341	bmalayi_vs_bpahangi
Bm3921a	0.0259	bmalayi_vs_bpahangi
Bm6414a	0.0233	bmalayi_vs_bpahangi
Bm1706a	0.0765	bmalayi_vs_bpahangi
Bm6098	0.0239	bmalayi_vs_bpahangi
Bm3666	0.0951	bmalayi_vs_bpahangi
Bm13793	0.0289	bmalayi_vs_bpahangi
Bm10832	0.0504	bmalayi_vs_bpahangi
Bm13698a	0.0776	bmalayi_vs_bpahangi
Bm2271	0.0098	bmalayi_vs_bpahangi
Bm6891	0.1488	bmalayi_vs_bpahangi
Bm2031a	0.0356	bmalayi_vs_bpahangi
Bm9885	0.0422	bmalayi_vs_bpahangi
Bm5941b	0.0336	bmalayi_vs_bpahangi
Bm5481a	0.0291	bmalayi_vs_bpahangi
Bm5754	0.0422	bmalayi_vs_bpahangi
Bm2596b	0.0351	bmalayi_vs_bpahangi
Bm3485a	0.0209	bmalayi_vs_bpahangi
Bm2213a	0.0211	bmalayi_vs_bpahangi
Bm2801a	0.1004	bmalayi_vs_bpahangi
Bm13937a	0.045	bmalayi_vs_bpahangi
Bm2207a	0.0276	bmalayi_vs_bpahangi
Bm6139	1e-04	bmalayi_vs_bpahangi
Bm2321a	0.0291	bmalayi_vs_bpahangi
Bm4409	0.0464	bmalayi_vs_bpahangi
Bm13728	0.0342	bmalayi_vs_bpahangi
Bm2073	0.0236	bmalayi_vs_bpahangi
Bm4099a	0.0403	bmalayi_vs_bpahangi
Bm13653	0.0393	bmalayi_vs_bpahangi
Bm3757	0.0208	bmalayi_vs_bpahangi
Bm2811a	0.0333	bmalayi_vs_bpahangi
Bm7113	0.0146	bmalayi_vs_bpahangi
Bm16928	0.05	bmalayi_vs_bpahangi
Bm14724	0.02	bmalayi_vs_bpahangi
Bm4438	0.0202	bmalayi_vs_bpahangi
Bm10902a	0.1095	bmalayi_vs_bpahangi
Bm3215	0.0491	bmalayi_vs_bpahangi
Bm5984	0.0218	bmalayi_vs_bpahangi
Bm13944a	0.0295	bmalayi_vs_bpahangi
Bm12034c	0.0489	bmalayi_vs_bpahangi
Bm2357a	0.0409	bmalayi_vs_bpahangi
Bm6800a	0.0349	bmalayi_vs_bpahangi
Bm3565a	0.0358	bmalayi_vs_bpahangi
Bm5441b	0.0081	bmalayi_vs_bpahangi
Bm5917a	0.0325	bmalayi_vs_bpahangi
Bm3431a	0.038	bmalayi_vs_bpahangi
Bm2106	0.0228	bmalayi_vs_bpahangi
Bm5523	0.0159	bmalayi_vs_bpahangi
Bm3817	0.0608	bmalayi_vs_bpahangi
Bm6820b	0.0288	bmalayi_vs_bpahangi
Bm6489a	0.0283	bmalayi_vs_bpahangi
Bm17775	0.0486	bmalayi_vs_bpahangi
Bm13891	0.0558	bmalayi_vs_bpahangi
Bm4473	0.0203	bmalayi_vs_bpahangi
Bm5626	0.0592	bmalayi_vs_bpahangi
