"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"76"	"ECA396"	"V"	3336000	110000	3446000
"77"	"ECA396"	"V"	3846000	13000	3859000
"78"	"ECA396"	"V"	3897000	96000	3993000
"79"	"ECA396"	"V"	4e+06	61000	4061000
"80"	"ECA396"	"V"	4271000	15000	4286000
"81"	"ECA396"	"V"	4375000	11000	4386000
"82"	"ECA396"	"V"	4937000	12000	4949000
"83"	"ECA396"	"V"	7400000	28000	7428000
"84"	"ECA396"	"V"	7592000	77000	7669000
"85"	"ECA396"	"V"	8960000	13000	8973000
"86"	"ECA396"	"V"	12424000	31000	12455000
"87"	"ECA396"	"V"	14545000	11000	14556000
"88"	"ECA396"	"V"	15278000	43000	15321000
"89"	"ECA396"	"V"	15417000	26000	15443000
"90"	"ECA396"	"V"	15506000	10000	15516000
"91"	"ECA396"	"V"	15564000	12000	15576000
"92"	"ECA396"	"V"	15784000	17000	15801000
"93"	"ECA396"	"V"	15812000	19000	15831000
"94"	"ECA396"	"V"	15909000	98000	16007000
"95"	"ECA396"	"V"	16053000	19000	16072000
"96"	"ECA396"	"V"	16129000	25000	16154000
"97"	"ECA396"	"V"	16314000	62000	16376000
"98"	"ECA396"	"V"	16463000	38000	16501000
"99"	"ECA396"	"V"	16601000	25000	16626000
"100"	"ECA396"	"V"	16839000	10000	16849000
"101"	"ECA396"	"V"	16880000	23000	16903000
"102"	"ECA396"	"V"	16923000	41000	16964000
"103"	"ECA396"	"V"	17007000	10000	17017000
"104"	"ECA396"	"V"	17172000	12000	17184000
"105"	"ECA396"	"V"	17226000	138000	17364000
"106"	"ECA396"	"V"	17372000	122000	17494000
"107"	"ECA396"	"V"	17521000	17000	17538000
"108"	"ECA396"	"V"	17547000	72000	17619000
"109"	"ECA396"	"V"	17638000	11000	17649000
"110"	"ECA396"	"V"	18674000	18000	18692000
"111"	"ECA396"	"V"	19375000	95000	19470000
"112"	"ECA396"	"V"	19482000	36000	19518000
"113"	"ECA396"	"V"	19933000	14000	19947000
"114"	"ECA396"	"V"	19960000	39000	19999000
"115"	"ECA396"	"V"	20201000	39000	20240000
"116"	"ECA396"	"V"	20364000	45000	20409000
"117"	"ECA396"	"V"	20480000	14000	20494000
"118"	"ECA396"	"V"	20541000	85000	20626000
"119"	"ECA396"	"X"	1818000	11000	1829000
"120"	"ECA396"	"X"	4342000	14000	4356000
"121"	"ECA396"	"X"	7346000	19000	7365000
"122"	"ECA396"	"X"	7914000	16000	7930000
"123"	"ECA396"	"X"	11798000	9000	11807000
"124"	"ECA396"	"X"	12201000	23000	12224000
"125"	"ECA396"	"X"	12602000	9000	12611000
"126"	"ECA396"	"X"	12992000	9000	13001000
"127"	"ECA396"	"X"	14215000	9000	14224000
"128"	"ECA396"	"X"	14356000	11000	14367000
"129"	"ECA396"	"X"	15627000	10000	15637000
"130"	"ECA396"	"X"	15826000	10000	15836000
