"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"75"	"XZ1516"	"III"	1370000	50000	1420000
"76"	"XZ1516"	"III"	1499000	11000	1510000
"77"	"XZ1516"	"III"	1625000	14000	1639000
"78"	"XZ1516"	"III"	1666000	13000	1679000
"79"	"XZ1516"	"III"	1843000	10000	1853000
"80"	"XZ1516"	"III"	2037000	60000	2097000
"81"	"XZ1516"	"III"	2396000	11000	2407000
"82"	"XZ1516"	"III"	2413000	29000	2442000
"83"	"XZ1516"	"III"	2901000	16000	2917000
"84"	"XZ1516"	"III"	9932000	36000	9968000
"85"	"XZ1516"	"III"	11098000	42000	11140000
"86"	"XZ1516"	"III"	12298000	24000	12322000
"87"	"XZ1516"	"III"	12749000	11000	12760000
"88"	"XZ1516"	"III"	12824000	12000	12836000
"89"	"XZ1516"	"III"	12992000	9000	13001000
"90"	"XZ1516"	"IV"	1228000	58000	1286000
"91"	"XZ1516"	"IV"	1536000	15000	1551000
"92"	"XZ1516"	"IV"	1816000	68000	1884000
"93"	"XZ1516"	"IV"	2e+06	14000	2014000
"94"	"XZ1516"	"IV"	2107000	9000	2116000
"95"	"XZ1516"	"IV"	2464000	17000	2481000
"96"	"XZ1516"	"IV"	2487000	20000	2507000
"97"	"XZ1516"	"IV"	2519000	14000	2533000
"98"	"XZ1516"	"IV"	2568000	34000	2602000
"99"	"XZ1516"	"IV"	2874000	11000	2885000
"100"	"XZ1516"	"IV"	3734000	10000	3744000
"101"	"XZ1516"	"IV"	3810000	12000	3822000
"102"	"XZ1516"	"IV"	4102000	9000	4111000
"103"	"XZ1516"	"IV"	4130000	38000	4168000
"104"	"XZ1516"	"IV"	5447000	14000	5461000
"105"	"XZ1516"	"IV"	5830000	13000	5843000
"106"	"XZ1516"	"IV"	6228000	41000	6269000
"107"	"XZ1516"	"IV"	6611000	15000	6626000
"108"	"XZ1516"	"IV"	7458000	9000	7467000
"109"	"XZ1516"	"IV"	12434000	11000	12445000
"110"	"XZ1516"	"IV"	12827000	10000	12837000
"111"	"XZ1516"	"IV"	12864000	14000	12878000
"112"	"XZ1516"	"IV"	12947000	9000	12956000
"113"	"XZ1516"	"IV"	14170000	11000	14181000
"114"	"XZ1516"	"IV"	15944000	10000	15954000
"115"	"XZ1516"	"IV"	16227000	28000	16255000
"116"	"XZ1516"	"IV"	16287000	70000	16357000
"117"	"XZ1516"	"IV"	16716000	19000	16735000
"118"	"XZ1516"	"V"	10000	380000	390000
"119"	"XZ1516"	"V"	491000	650000	1141000
"120"	"XZ1516"	"V"	1511000	30000	1541000
"121"	"XZ1516"	"V"	1641000	23000	1664000
"122"	"XZ1516"	"V"	1684000	38000	1722000
"123"	"XZ1516"	"V"	1844000	9000	1853000
"124"	"XZ1516"	"V"	2037000	10000	2047000
"125"	"XZ1516"	"V"	2127000	12000	2139000
"126"	"XZ1516"	"V"	2171000	14000	2185000
"127"	"XZ1516"	"V"	2227000	25000	2252000
"128"	"XZ1516"	"V"	2285000	18000	2303000
"129"	"XZ1516"	"V"	2318000	58000	2376000
"130"	"XZ1516"	"V"	2549000	646000	3195000
"131"	"XZ1516"	"V"	3237000	9000	3246000
"132"	"XZ1516"	"V"	3263000	156000	3419000
"133"	"XZ1516"	"V"	3443000	221000	3664000
"134"	"XZ1516"	"V"	3665000	12000	3677000
"135"	"XZ1516"	"V"	3712000	19000	3731000
"136"	"XZ1516"	"V"	3758000	181000	3939000
"137"	"XZ1516"	"V"	3957000	376000	4333000
"138"	"XZ1516"	"V"	4358000	17000	4375000
"139"	"XZ1516"	"V"	4404000	9000	4413000
"140"	"XZ1516"	"V"	4434000	31000	4465000
"141"	"XZ1516"	"V"	4743000	16000	4759000
"142"	"XZ1516"	"V"	4920000	37000	4957000
"143"	"XZ1516"	"V"	4981000	23000	5004000
"144"	"XZ1516"	"V"	5011000	66000	5077000
"145"	"XZ1516"	"V"	5078000	13000	5091000
"146"	"XZ1516"	"V"	5217000	53000	5270000
"147"	"XZ1516"	"V"	6380000	14000	6394000
"148"	"XZ1516"	"V"	7107000	63000	7170000
"149"	"XZ1516"	"V"	7209000	383000	7592000
"150"	"XZ1516"	"V"	8741000	34000	8775000
"151"	"XZ1516"	"V"	8961000	27000	8988000
"152"	"XZ1516"	"V"	10454000	10000	10464000
"153"	"XZ1516"	"V"	12362000	62000	12424000
"154"	"XZ1516"	"V"	13044000	80000	13124000
"155"	"XZ1516"	"V"	13165000	10000	13175000
"156"	"XZ1516"	"V"	13588000	13000	13601000
"157"	"XZ1516"	"V"	13676000	91000	13767000
"158"	"XZ1516"	"V"	13806000	156000	13962000
"159"	"XZ1516"	"V"	14501000	55000	14556000
"160"	"XZ1516"	"V"	14584000	14000	14598000
"161"	"XZ1516"	"V"	15167000	33000	15200000
"162"	"XZ1516"	"V"	15211000	537000	15748000
"163"	"XZ1516"	"V"	15756000	152000	15908000
"164"	"XZ1516"	"V"	15909000	152000	16061000
"165"	"XZ1516"	"V"	16107000	54000	16161000
"166"	"XZ1516"	"V"	16187000	262000	16449000
"167"	"XZ1516"	"V"	16463000	33000	16496000
"168"	"XZ1516"	"V"	16533000	103000	16636000
"169"	"XZ1516"	"V"	16643000	31000	16674000
"170"	"XZ1516"	"V"	16703000	47000	16750000
"171"	"XZ1516"	"V"	16839000	17000	16856000
"172"	"XZ1516"	"V"	16863000	157000	17020000
"173"	"XZ1516"	"V"	17172000	18000	17190000
"174"	"XZ1516"	"V"	17233000	131000	17364000
"175"	"XZ1516"	"V"	17395000	118000	17513000
"176"	"XZ1516"	"V"	17520000	222000	17742000
"177"	"XZ1516"	"V"	17920000	81000	18001000
"178"	"XZ1516"	"V"	18136000	58000	18194000
"179"	"XZ1516"	"V"	18207000	52000	18259000
"180"	"XZ1516"	"V"	18306000	27000	18333000
"181"	"XZ1516"	"V"	18366000	17000	18383000
"182"	"XZ1516"	"V"	18391000	21000	18412000
"183"	"XZ1516"	"V"	18471000	416000	18887000
"184"	"XZ1516"	"V"	18895000	2e+05	19095000
"185"	"XZ1516"	"V"	19101000	11000	19112000
"186"	"XZ1516"	"V"	19125000	74000	19199000
"187"	"XZ1516"	"V"	19270000	12000	19282000
"188"	"XZ1516"	"V"	19331000	11000	19342000
"189"	"XZ1516"	"V"	19373000	252000	19625000
"190"	"XZ1516"	"V"	19632000	135000	19767000
"191"	"XZ1516"	"V"	19810000	13000	19823000
"192"	"XZ1516"	"V"	19841000	10000	19851000
"193"	"XZ1516"	"V"	19891000	10000	19901000
"194"	"XZ1516"	"V"	19943000	9000	19952000
"195"	"XZ1516"	"V"	20064000	9000	20073000
"196"	"XZ1516"	"V"	20105000	90000	20195000
"197"	"XZ1516"	"V"	20202000	33000	20235000
"198"	"XZ1516"	"V"	20264000	173000	20437000
"199"	"XZ1516"	"V"	20438000	59000	20497000
"200"	"XZ1516"	"V"	20521000	121000	20642000
"201"	"XZ1516"	"X"	1000	30000	31000
"202"	"XZ1516"	"X"	1471000	40000	1511000
"203"	"XZ1516"	"X"	1763000	12000	1775000
"204"	"XZ1516"	"X"	1818000	19000	1837000
"205"	"XZ1516"	"X"	5309000	9000	5318000
"206"	"XZ1516"	"X"	6112000	11000	6123000
"207"	"XZ1516"	"X"	6905000	12000	6917000
"208"	"XZ1516"	"X"	7914000	16000	7930000
"209"	"XZ1516"	"X"	8101000	9000	8110000
"210"	"XZ1516"	"X"	12201000	22000	12223000
"211"	"XZ1516"	"X"	14216000	9000	14225000
"212"	"XZ1516"	"X"	14356000	11000	14367000
"213"	"XZ1516"	"X"	14635000	9000	14644000
"214"	"XZ1516"	"X"	15627000	9000	15636000
