"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"66"	"ECA36"	"IV"	4052000	14000	4066000
"67"	"ECA36"	"IV"	4102000	14000	4116000
"68"	"ECA36"	"IV"	4126000	45000	4171000
"69"	"ECA36"	"IV"	5456000	9000	5465000
"70"	"ECA36"	"IV"	5821000	19000	5840000
"71"	"ECA36"	"IV"	6206000	12000	6218000
"72"	"ECA36"	"IV"	6268000	34000	6302000
"73"	"ECA36"	"IV"	6611000	15000	6626000
"74"	"ECA36"	"IV"	7451000	19000	7470000
"75"	"ECA36"	"IV"	12836000	20000	12856000
"76"	"ECA36"	"IV"	12868000	10000	12878000
"77"	"ECA36"	"IV"	14170000	11000	14181000
"78"	"ECA36"	"IV"	14519000	32000	14551000
"79"	"ECA36"	"IV"	15445000	12000	15457000
"80"	"ECA36"	"IV"	15612000	12000	15624000
"81"	"ECA36"	"IV"	17255000	134000	17389000
"82"	"ECA36"	"IV"	17404000	11000	17415000
"83"	"ECA36"	"IV"	17447000	11000	17458000
"84"	"ECA36"	"V"	391000	130000	521000
"85"	"ECA36"	"V"	635000	11000	646000
"86"	"ECA36"	"V"	697000	23000	720000
"87"	"ECA36"	"V"	858000	14000	872000
"88"	"ECA36"	"V"	942000	23000	965000
"89"	"ECA36"	"V"	1047000	16000	1063000
"90"	"ECA36"	"V"	1511000	19000	1530000
"91"	"ECA36"	"V"	1641000	16000	1657000
"92"	"ECA36"	"V"	2047000	19000	2066000
"93"	"ECA36"	"V"	2592000	19000	2611000
"94"	"ECA36"	"V"	2802000	20000	2822000
"95"	"ECA36"	"V"	2874000	19000	2893000
"96"	"ECA36"	"V"	2916000	28000	2944000
"97"	"ECA36"	"V"	3018000	17000	3035000
"98"	"ECA36"	"V"	3314000	132000	3446000
"99"	"ECA36"	"V"	3643000	47000	3690000
"100"	"ECA36"	"V"	3846000	13000	3859000
"101"	"ECA36"	"V"	3897000	88000	3985000
"102"	"ECA36"	"V"	4007000	31000	4038000
"103"	"ECA36"	"V"	4112000	53000	4165000
"104"	"ECA36"	"V"	4375000	13000	4388000
"105"	"ECA36"	"V"	4856000	17000	4873000
"106"	"ECA36"	"V"	6362000	11000	6373000
"107"	"ECA36"	"V"	7348000	14000	7362000
"108"	"ECA36"	"V"	7399000	29000	7428000
"109"	"ECA36"	"V"	7592000	77000	7669000
"110"	"ECA36"	"V"	13501000	10000	13511000
"111"	"ECA36"	"V"	13542000	10000	13552000
"112"	"ECA36"	"V"	13588000	13000	13601000
"113"	"ECA36"	"V"	14597000	65000	14662000
"114"	"ECA36"	"V"	15172000	11000	15183000
"115"	"ECA36"	"V"	15212000	130000	15342000
"116"	"ECA36"	"V"	15376000	13000	15389000
"117"	"ECA36"	"V"	15564000	12000	15576000
"118"	"ECA36"	"V"	15698000	113000	15811000
"119"	"ECA36"	"V"	15831000	9000	15840000
"120"	"ECA36"	"V"	15863000	45000	15908000
"121"	"ECA36"	"V"	15909000	121000	16030000
"122"	"ECA36"	"V"	16052000	9000	16061000
"123"	"ECA36"	"V"	16067000	40000	16107000
"124"	"ECA36"	"V"	16128000	28000	16156000
"125"	"ECA36"	"V"	16187000	190000	16377000
"126"	"ECA36"	"V"	16388000	38000	16426000
"127"	"ECA36"	"V"	16437000	12000	16449000
"128"	"ECA36"	"V"	16463000	39000	16502000
"129"	"ECA36"	"V"	16573000	71000	16644000
"130"	"ECA36"	"V"	16839000	17000	16856000
"131"	"ECA36"	"V"	16875000	183000	17058000
"132"	"ECA36"	"V"	17083000	28000	17111000
"133"	"ECA36"	"V"	17134000	39000	17173000
"134"	"ECA36"	"V"	17200000	164000	17364000
"135"	"ECA36"	"V"	17526000	66000	17592000
"136"	"ECA36"	"V"	17640000	11000	17651000
"137"	"ECA36"	"V"	17664000	20000	17684000
"138"	"ECA36"	"V"	17808000	13000	17821000
"139"	"ECA36"	"V"	17872000	15000	17887000
"140"	"ECA36"	"V"	18135000	127000	18262000
"141"	"ECA36"	"V"	18411000	9000	18420000
"142"	"ECA36"	"V"	18755000	21000	18776000
"143"	"ECA36"	"V"	18839000	9000	18848000
"144"	"ECA36"	"V"	19238000	257000	19495000
"145"	"ECA36"	"V"	19836000	27000	19863000
"146"	"ECA36"	"V"	19904000	10000	19914000
"147"	"ECA36"	"V"	19972000	27000	19999000
"148"	"ECA36"	"V"	20075000	10000	20085000
"149"	"ECA36"	"V"	20162000	32000	20194000
"150"	"ECA36"	"V"	20203000	36000	20239000
"151"	"ECA36"	"V"	20364000	34000	20398000
"152"	"ECA36"	"V"	20482000	12000	20494000
"153"	"ECA36"	"X"	1463000	48000	1511000
"154"	"ECA36"	"X"	1818000	13000	1831000
"155"	"ECA36"	"X"	6905000	12000	6917000
"156"	"ECA36"	"X"	8101000	9000	8110000
"157"	"ECA36"	"X"	13451000	10000	13461000
"158"	"ECA36"	"X"	14216000	9000	14225000
"159"	"ECA36"	"X"	14635000	9000	14644000
